auth_id,Credit Card Payment,Divorce Lawyer Fees,Paycheck,Geek,ArtMusic,Indoors,Fitness/Sports,Outdoors/Partying,Late Payment,utilites,child care,student loans,groceries,misc,divorcee,Hobies (Fitness/Sports),Hobbies (Reading/Muesums),Hobbies (Socialize/Partying),likes indoor,Parent,Student,Has Credit Card,unpunctual,income Strata,Free Utilites
624,0.0,0.0,50500.0,0.0,-39144.23999999998,-1750.65,0.0,0.0,0.0,-2200.0,-121.92,-6640.0,-5391.54,-1430.0100000000007,No,No,No,No,No,Yes,Yes,No,No,Medium,Yes
63891,-3080.0,-17.23,5842.0,0.0,0.0,-1187.3200000000004,0.0,-38936.59,0.0,-2200.0,-120.96,-6640.0,-5508.81,-1516.2200000000007,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Low,Yes
89593,-3080.0,-2.43,52540.0,0.0,0.0,-1470.8200000000006,0.0,-37899.67,0.0,-1140.0,-175.26999999999995,-2700.0,-4805.899999999999,-1250.54,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Medium,Yes
99842,-3080.0,0.0,54701.0,0.0,-35443.82,-880.1600000000003,0.0,0.0,0.0,-2200.0,-104.3,-6640.0,-4769.52,-1214.38,No,No,No,No,No,Yes,Yes,Yes,No,Medium,Yes
57556,-3080.0,0.0,8381.0,0.0,-36662.33,-1521.7299999999993,0.0,0.0,0.0,-640.0,-113.31,-3940.0,-5431.13,-1596.29,No,No,No,No,No,Yes,Yes,Yes,No,Low,Yes
20128,0.0,0.0,45780.0,-37635.53000000001,0.0,-1143.61,0.0,0.0,0.0,-1060.0,-128.63,0.0,-4215.030000000002,-885.26,No,No,Yes,No,No,Yes,No,No,No,Medium,Yes
37948,-3080.0,-72.62,71622.0,0.0,0.0,-1277.1000000000004,-38910.92999999999,0.0,0.0,-500.0,-127.40999999999998,-6640.0,-5116.06,-1568.5899999999995,Yes,Yes,No,No,No,Yes,Yes,Yes,No,High,Yes
19209,-3080.0,-36.51,56620.0,0.0,0.0,-1595.6799999999996,0.0,-36771.180000000015,0.0,-2200.0,-63.90000000000001,-6640.0,-5262.99,-1121.4599999999996,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Medium,Yes
83049,-3080.0,0.0,34233.0,-38359.05000000002,0.0,-1259.32,0.0,0.0,0.0,0.0,-206.62,-3940.0,-4626.85,-853.86,No,No,Yes,No,No,Yes,Yes,Yes,No,Medium,No
93372,0.0,-14.03,59214.0,0.0,0.0,-1145.91,-38029.23,0.0,0.0,-2200.0,-138.04999999999998,-6640.0,-5231.009999999998,-1421.6799999999996,Yes,Yes,No,No,No,Yes,Yes,No,No,High,Yes
7299,-3080.0,0.0,64925.0,-39707.45,0.0,-1363.88,0.0,0.0,0.0,-2200.0,-87.55,-6640.0,-5460.500000000001,-1573.2499999999998,No,No,Yes,No,No,Yes,Yes,Yes,No,High,Yes
56930,-3080.0,0.0,10917.0,0.0,-38194.69999999998,-1275.7099999999996,0.0,0.0,0.0,-1560.0,-163.98000000000005,0.0,-5051.92,-817.0900000000001,No,No,No,No,No,Yes,No,Yes,No,Low,Yes
15248,-3080.0,0.0,44924.0,-37548.2,0.0,-574.93,0.0,0.0,-4857.8,-1560.0,-148.20999999999995,-6640.0,-5036.669999999999,-1115.53,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Medium,Yes
54144,0.0,0.0,44260.0,0.0,-37577.66,-1215.53,0.0,0.0,0.0,-1700.0,-133.32999999999998,-2700.0,-5172.1,-1546.3099999999995,No,No,No,No,No,Yes,Yes,No,No,Medium,Yes
35187,-3080.0,-9.0,77741.0,0.0,0.0,-1604.5500000000004,-38000.43999999999,0.0,0.0,-1700.0,-189.18,-6640.0,-4497.81,-947.4000000000003,Yes,Yes,No,No,No,Yes,Yes,Yes,No,High,Yes
15241,0.0,0.0,33003.0,0.0,-39346.68,-1621.49,0.0,0.0,0.0,-1060.0,-184.9,0.0,-4612.77,-1412.11,No,No,No,No,No,Yes,No,No,No,Low,Yes
53897,-3080.0,0.0,55420.0,0.0,-34538.99,-1078.62,0.0,0.0,0.0,-2200.0,-121.84,-3940.0,-4608.33,-1349.52,No,No,No,No,No,Yes,Yes,Yes,No,Medium,Yes
